"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Cpne8","Group",0.728721594290377,0.853231006635008,"DMSO","DESeq2","DMSO vs T4400",1.02215969642135,0.0316206123582458
"Cpox","Group",0.000615290996983372,0.0103705619971478,"DMSO","DESeq2","DMSO vs T4400",1.28434861724282,0.361036853630233
"Cpped1","Group",0.333488765884994,0.554128760512264,"DMSO","DESeq2","DMSO vs T4400",1.03888548265217,0.0550366333419225
"Cpq","Group",0.875722128815681,0.941155362056145,"DMSO","DESeq2","DMSO vs T4400",1.00823358458985,0.0118299169031154
"Cpsf1","Group",0.0624029550194289,0.197237997791891,"T4400","DESeq2","DMSO vs T4400",0.942457072424754,-0.0855011877106729
"Cpsf2","Group",0.819422664941156,0.909051008784829,"DMSO","DESeq2","DMSO vs T4400",1.01089036510414,0.0156265399735667
"Cpsf3","Group",0.273827939869617,0.495716992593866,"T4400","DESeq2","DMSO vs T4400",0.952143467462652,-0.0707491219818528
"Cpsf3l","Group",0.428071049394242,0.637695548004394,"T4400","DESeq2","DMSO vs T4400",0.949469312365047,-0.0748067228582708
"Cpsf4","Group",0.196192563443088,0.404987787407109,"T4400","DESeq2","DMSO vs T4400",0.917557738925557,-0.124129149966254
"Cpsf6","Group",0.227760736542749,0.442773090562286,"T4400","DESeq2","DMSO vs T4400",0.930548301217796,-0.103847057855125
"Cpsf7","Group",0.20516806424086,0.416359303803597,"T4400","DESeq2","DMSO vs T4400",0.95676514953575,-0.0637632550039793
"Cpt1a","Group",0.798807151817216,0.897240465521345,"DMSO","DESeq2","DMSO vs T4400",1.02452291248554,0.0349522492194638
"Cpt1c","Group",0.0162682803584834,0.0825996203446142,"T4400","DESeq2","DMSO vs T4400",0.883283468246298,-0.179051584982379
"Cpt2","Group",0.0362731988507284,0.139565077447817,"T4400","DESeq2","DMSO vs T4400",0.904663454318238,-0.144546902787575
"Cptp","Group",0.894898874481831,0.94972126789546,"T4400","DESeq2","DMSO vs T4400",0.990319635982953,-0.0140338496738399
"Cpxm1","Group",0.154424864967506,0.347456004128479,"DMSO","DESeq2","DMSO vs T4400",1.29474071909473,0.372663217040688
"Cpz","Group",0.0207295523514372,0.0971353219927586,"T4400","DESeq2","DMSO vs T4400",0.819645934153703,-0.286927257538184
"Cr1l","Group",0.378109499139901,0.594996999372981,"DMSO","DESeq2","DMSO vs T4400",1.06288654523029,0.0879876087513141
"Crabp1","Group",0.0135816754997949,0.0737897974502403,"T4400","DESeq2","DMSO vs T4400",0.378362704051335,-1.40215820846167
"Crabp2","Group",0.291446288038951,0.512877669816936,"DMSO","DESeq2","DMSO vs T4400",1.08451893251442,0.117055238447034
"Cracr2b","Group",0.541667544552634,0.726782797929851,"T4400","DESeq2","DMSO vs T4400",0.928529143715641,-0.106980902191199
"Cradd","Group",0.940430162229328,0.971907717900054,"DMSO","DESeq2","DMSO vs T4400",1.00544242560898,0.00783047133342104
"Cramp1l","Group",0.263256324616348,0.484832568261784,"DMSO","DESeq2","DMSO vs T4400",1.05733794045721,0.0804365565694343
"Crat","Group",0.665536461945018,0.812225544063193,"T4400","DESeq2","DMSO vs T4400",0.981951105175928,-0.0262769054557561
"Crbn","Group",0.10154198729954,0.267814053341864,"DMSO","DESeq2","DMSO vs T4400",1.10997285360202,0.150524393284705
"Crcp","Group",0.497623673403059,0.694517407552637,"DMSO","DESeq2","DMSO vs T4400",1.04648079017726,0.0655458288699085
"Crct1","Group",0.178148579438232,0.381307045122564,"DMSO","DESeq2","DMSO vs T4400",2.47869178162007,1.30957888749018
"Creb1","Group",0.903600064558726,0.95390919148381,"DMSO","DESeq2","DMSO vs T4400",1.01396459895197,0.0200072836943153
"Creb3","Group",0.632380264188573,0.792771807557468,"DMSO","DESeq2","DMSO vs T4400",1.02119896428992,0.0302639796628504
"Creb3l1","Group",7.4507432885255e-05,0.0030400740523955,"T4400","DESeq2","DMSO vs T4400",0.742894571817969,-0.428770610244072
"Creb3l2","Group",0.711192613349024,0.841814636797015,"T4400","DESeq2","DMSO vs T4400",0.981336333490032,-0.0271804186897756
"Creb3l3","Group",0.207379556474264,0.418996152694881,"T4400","DESeq2","DMSO vs T4400",0.776225774293277,-0.365451756806854
"Creb3l4","Group",0.0633331042670757,0.199324858773044,"DMSO","DESeq2","DMSO vs T4400",1.63398052788077,0.708390791012825
"Creb5","Group",0.0725101490815688,0.216375633470566,"DMSO","DESeq2","DMSO vs T4400",1.3985976832434,0.483981020499325
"Crebbp","Group",0.348935136205841,0.569229842900218,"DMSO","DESeq2","DMSO vs T4400",1.08544797449149,0.118290579253993
"Crebl2","Group",0.00171274164425985,0.0199274120102237,"DMSO","DESeq2","DMSO vs T4400",1.33500043496024,0.416840211961429
"Crebrf","Group",0.000335961539328524,0.0073039577405163,"DMSO","DESeq2","DMSO vs T4400",1.92126384785548,0.942055658438069
"Crebzf","Group",0.919951928910883,0.962158325953544,"DMSO","DESeq2","DMSO vs T4400",1.00687154549447,0.00987963915501941
"Creg1","Group",0.000498007423200579,0.00913656869506774,"DMSO","DESeq2","DMSO vs T4400",1.38355244761845,0.468377334576608
"Creg2","Group",0.953081467361881,0.977602811769142,"DMSO","DESeq2","DMSO vs T4400",1.01362705828798,0.0195269421573083
"Creld1","Group",0.0189730106448341,0.0918683095493943,"DMSO","DESeq2","DMSO vs T4400",1.1514955965403,0.203508894099395
"Creld2","Group",0.0196962567367136,0.0938670334440434,"DMSO","DESeq2","DMSO vs T4400",1.26864676124341,0.343290424778821
"Crem","Group",0.000194488614127639,0.00538214217434011,"DMSO","DESeq2","DMSO vs T4400",1.29041715660741,0.367837524935927
"Crh","Group",0.134599318515259,0.319401877942673,"DMSO","DESeq2","DMSO vs T4400",1.83075373859943,0.872437741984345
"Crhbp","Group",0.888598652191653,0.947058214745089,"DMSO","DESeq2","DMSO vs T4400",1.06565939237804,0.091746395462382
"Crim1","Group",0.00258777957667851,0.025554771963871,"DMSO","DESeq2","DMSO vs T4400",1.30723628568934,0.38651993484587
"Crip1","Group",2.72821202570515e-05,0.0017903105643337,"T4400","DESeq2","DMSO vs T4400",0.742811716627691,-0.428931523303646
"Crip2","Group",6.5613176755944e-05,0.002822935647112,"T4400","DESeq2","DMSO vs T4400",0.779871170738356,-0.358692274358049
"Cript","Group",0.763000814054036,0.875045075153694,"DMSO","DESeq2","DMSO vs T4400",1.01003964905927,0.0144119270151322
"Crispld1","Group",0.0249410216844564,0.109515926237021,"DMSO","DESeq2","DMSO vs T4400",2.85740861332667,1.51470735838421
"Crispld2","Group",0.101944937692827,0.268434895108331,"T4400","DESeq2","DMSO vs T4400",0.507527527961054,-0.978442019632236
"Crk","Group",0.350247919578796,0.570332484313324,"DMSO","DESeq2","DMSO vs T4400",1.05367472957478,0.0754295743248406
