"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"Lrrc46","Group",0.174597996508419,0.894144109340808,"T3976","DESeq2","DMSO vs T3976",0.770889013646084,-0.375404927338752
"Lrrc47","Group",0.418215843898243,0.954017670200496,"T3976","DESeq2","DMSO vs T3976",0.962856960607517,-0.0546066037238521
"Lrrc48","Group",0.225689613278644,0.918452395986094,"DMSO","DESeq2","DMSO vs T3976",1.81199341544339,0.857577712821001
"Lrrc49","Group",0.519086382062645,0.966727359633855,"DMSO","DESeq2","DMSO vs T3976",1.03515342743069,0.0498446156364198
"Lrrc4c","Group",0.400295986447421,0.950427835285786,"T3976","DESeq2","DMSO vs T3976",0.876899798269529,-0.189516096913657
"Lrrc51","Group",0.101292480304562,0.836368014579722,"T3976","DESeq2","DMSO vs T3976",0.823001192507153,-0.281033573811652
"Lrrc55","Group",0.964598319925159,0.998281345570293,"DMSO","DESeq2","DMSO vs T3976",1.01400887645506,0.0200702814947492
"Lrrc56","Group",0.531007043079339,0.967351581550344,"DMSO","DESeq2","DMSO vs T3976",1.1000621281841,0.137585005106276
"Lrrc57","Group",0.333298023397039,0.939144991884633,"DMSO","DESeq2","DMSO vs T3976",1.06035154307708,0.0845426472154556
"Lrrc58","Group",0.719642255255069,0.98444238934806,"DMSO","DESeq2","DMSO vs T3976",1.05244228123969,0.0737411141917956
"Lrrc59","Group",0.758848750786624,0.987933351677229,"T3976","DESeq2","DMSO vs T3976",0.987183838208441,-0.0186093194512846
"Lrrc61","Group",0.367111945278415,0.946209200724509,"DMSO","DESeq2","DMSO vs T3976",1.07913410086371,0.109874155493014
"Lrrc71","Group",0.53204173860301,0.968121455837127,"DMSO","DESeq2","DMSO vs T3976",1.37817400093864,0.462758046564515
"Lrrc73","Group",0.916763265285128,0.995787091078345,"DMSO","DESeq2","DMSO vs T3976",1.01385508489943,0.0198514558542807
"Lrrc74b","Group",0.120189799663894,0.85228910160007,"T3976","DESeq2","DMSO vs T3976",0.575255730516024,-0.797724644693763
"Lrrc75a","Group",0.621190289907747,0.975365577302846,"T3976","DESeq2","DMSO vs T3976",0.970246581948787,-0.043576649292739
